id,moku_id,name,island
8b99885d-41b2-40e1-9227-ea4b61ab97cd,hawaii-hilo,Hilo,hawaii
4d71da87-9e55-473f-b5f0-b494b042bd21,hawaii-hamakua,Hāmākua,hawaii
e999716e-8c80-465e-a340-e18b165657d0,hawaii-kau,Kaʻū,hawaii
9a39d41e-9696-4904-94d5-7b8b9fcd58cc,hawaii-kohala,Kohala,hawaii
cf993b2e-c172-4b28-a774-b7375189c97d,hawaii-kona,Kona,hawaii
027c7f1f-aaea-4940-b49c-d27360df2996,hawaii-puna,Puna,hawaii
2514730c-9a67-4c3a-81e2-08aa5c8e0680,kauai-halelea,Halele'a,kauai
41e66c7d-3ae4-4e27-a314-42bddcbc92c6,kauai-kona,Kona,kauai
c2aef359-4153-414d-989e-8d16a88fb814,kauai-koolau,Koʻolau,kauai
b0ccf7c2-4691-46c7-b72d-a851c1e36629,kauai-napali,Nāpali,kauai
2acf5653-800b-4cb3-8375-477010feafc9,kauai-puna,Puna,kauai
3713bf32-891d-476f-b3d5-7d05b9713bcd,lanai-lahaina,Lāhainā,lanai
7f65dcdc-9c7f-4d60-ae7e-d7380d6448fe,maui-honuaula,Honuaʻula,maui
22d8363c-bbd3-4f22-a184-135db833ed9c,maui-hamakualoa,Hāmākualoa,maui
210c2866-e1f5-4731-82bc-880090478277,maui-hamakuapoko,Hāmākuapoko,maui
c9f09ac0-5523-4fd7-ad89-e43c6d10f2cd,maui-hana,Hāna,maui
8f01ea44-fd28-4e4a-986f-e300ceddded2,maui-kahikinui,Kahikinui,maui
a8fa071f-852b-463a-bdce-e6f96af5efde,maui-kaupo,Kaupō,maui
71d0f306-55c6-49c4-b9e3-afbc58ef08b2,maui-kipahulu,Kipahulu,maui
6982e4fc-9c99-40d3-8cc2-e7d9c9d68fbc,maui-koolau,Koʻolau,maui
ccc44021-cd7f-4eab-b06b-b7ecf7b2c3d5,maui-kula,Kula,maui
34e3519b-d736-4aec-8a50-0fbf97b89a5d,maui-kaanapali,Kāʻanapali,maui
035203e6-c35e-4e86-aedf-4c1607b98a42,maui-lahaina,Lāhainā,maui
b6453877-bdfb-45c3-ba6a-5eec38ac4b46,maui-puali-komohana,Pūʻali Komohana,maui
5c008276-536f-44a8-9d3c-9af55570f83d,molokai-kona,Kona,molokai
9a893e9d-7fed-46e7-826b-942e9d80a249,molokai-koolau,Koʻolau,molokai
b5472533-7dd7-4a97-a026-0736f671663c,niihau-kona,Kona,niihau
155106b8-0d84-44f6-b208-2f676cacc678,oahu-koolaupoko,Ko'olaupoko,oahu
2d7620fd-d8de-465b-8a70-4b22023d223d,oahu-kona,Kona,oahu
e6f5c31d-ab2c-45ac-9ef1-0ede0f65b3ef,oahu-koolauloa,Koʻolauloa,oahu
6dae2580-3521-4e5b-bedd-627043a55836,oahu-waialua,Waialua,oahu
fcc82018-8f9c-464b-a3c1-3e50482f005b,oahu-waianae,Waiʻanae,oahu
1a1c0a7f-92f7-4288-979d-176b84b68fc6,oahu-ewa,ʻEwa,oahu
