zone_id,h3_cell,resolution,parent_h3_8,version,data_source,provenance
STA_1,8e464b9052e520f,14,88464b9053fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 1 (Kualakaʻi Station)
STA_2,8e464b905b08607,14,88464b905bfffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 2 (Keoneʻae Station)
STA_3,8e464b92e0b02d7,14,88464b92e1fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 3 (Honouliuli Station)
STA_4,8e464b92c755597,14,88464b92c7fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 4 (Hōʻaeʻae Station)
STA_5,8e464b92dc66d97,14,88464b92ddfffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 5 (Pouhala Station)
STA_6,8e46482de56ccb7,14,8846482de5fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 6 (Hālaulani Station)
STA_7,8e46482de10b337,14,8846482de1fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 7 (Waiawa Station)
STA_8,8e46482d822dc07,14,8846482d83fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 8 (Kalauao Station)
STA_9,8e46482d961accf,14,8846482d97fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 9 (Hālawa Station)
STA_10,8e464b9664f3ab7,14,88464b9665fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 10 (Makalapa Station)
STA_11,8e464b9620f5c77,14,88464b9621fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 11 (Lelepaua Station)
STA_12,8e464b963c5cc77,14,88464b963dfffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 12 (Āhua Station)
STA_13,8e464b963a1504f,14,88464b963bfffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 13 (Kahauiki Station)
STA_14,8e464b96ec3038f,14,88464b96edfffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 14 (Mokauea Station)
STA_15,8e464b96e01dc57,14,88464b96e1fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 15 (Niuhelewai Station)
STA_16,8e464b96e2326df,14,88464b96e3fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 16 (Kūwili Station)
STA_17,8e464b96a929d6f,14,88464b96a9fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 17 (Hōlau Station)
STA_18,8e464b96a85e477,14,88464b96a9fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 18 (Kuloloia Station)
STA_19,8e464b96aaf6c17,14,88464b96abfffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 19 (Kaʻākaukukui Station)
STA_20,8e464b96bcb28ef,14,88464b96bdfffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 20 (Kūkuluaeʻo Station)
STA_21,8e464b96b188617,14,88464b96b1fffff,2026.02,HART stations intrazone 2026,Point res14 from HART station 21 (Kālia Station)
